imdb_id,movie_name,genre,cast
tt3495026,Fan,"Action, Drama, Thriller","Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza"
tt28540171,Welcome to the Jungle, ,"Akshay Kumar, Sanjay Dutt, Disha Patani, Jacqueline Fernandez"
tt6148156,Vikram Vedha,"Action, Crime, Drama","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir"
tt0169102,Lagaan: Once Upon a Time in India,"Drama, Musical, Sport","Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley"
tt28282716,Trial Period,"Comedy, Drama","Genelia Deshmukh, Manav Kaul, Shakti Kapoor, Sheeba Chaddha"
tt18413766,Kathal: A Jackfruit Mystery,"Comedy, Crime, Drama","Sanya Malhotra, Joshi Anantvijay, Vijay Raaz, Rajpal Naurang Yadav"
tt10280296,Sardar Udham,"Biography, Crime, Drama","Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar"
tt3679040,Kisi Ka Bhai Kisi Ki Jaan,"Action, Comedy, Drama","Salman Khan, Pooja Hegde, Venkatesh Daggubati, Jagapathi Babu"
tt15134398,King of Kotha,"Action, Drama, Thriller","Dulquer Salmaan, Aishwarya Lekshmi, Soubin Shahir, Ritika Singh"
tt2016894,Ek Tha Tiger,"Action, Adventure, Romance","Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth"
tt13130760,HIT: The First Case,"Action, Crime, Drama","Rajkummar Rao, Sanya Malhotra, Akhil Iyer, Jatin Goswami"
tt11976134,Singham Again,Drama,"Kareena Kapoor, Deepika Padukone, Akshay Kumar, Ranveer Singh"
tt2555736,The Second Best Exotic Marigold Hotel,"Comedy, Drama, Romance","Judi Dench, Maggie Smith, Bill Nighy, Dev Patel"
tt0112870,Dilwale Dulhania Le Jayenge,"Drama, Romance","Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal"
tt28259207,Kill,"Action, Adventure, Drama","Lakshya, Raghav Juyal, Tanya Maniktala, Abhishek Chauhan"
tt7700730,October,"Drama, Romance","Varun Dhawan, Banita Sandhu, Gitanjali Rao, Sahil Vedoliyaa"
tt15600222,An Action Hero,"Action, Comedy, Crime","Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav, Gautam Joglekar"
tt23554840,The Vaccine War,"Drama, Thriller","Nivedita Bhattacharya, Anupam Kher, Girija Oak, Nana Patekar"
tt1093370,Jab We Met,"Comedy, Drama, Romance","Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa"
tt7838252,K.G.F: Chapter 1,"Action, Crime, Drama","Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois"
tt10895576,Mimi,"Comedy, Drama","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi, Sai Tamhankar"
tt15832148,Afwaah,"Drama, Thriller","Nawazuddin Siddiqui, T.J. Bhanu, Bhumi Pednekar, Eisha Chopra"
tt13130308,Godfather,"Action, Crime, Drama","Chiranjeevi, Salman Khan, Nayanthara, Satyadev Kancharana"
tt8011276,Laila Majnu,"Drama, Romance","Avinash Tiwary, Triptii Dimri, Sumit Kaul, Abrar Qazi"
tt1166100,Ghajini,"Action, Drama, Mystery","Aamir Khan, Asin Thottumkal, Jiah Khan, Aamir Naik"
tt5997666,Jab Harry Met Sejal,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Bruce Huther"
tt2082197,Barfi!,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla"
tt1266583,Mumbai Meri Jaan,Drama,"Paresh Rawal, Kay Kay Menon, Irrfan Khan, Madhavan"
tt7212754,Ludo,"Action, Comedy, Crime","Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh"
tt3390572,Haider,"Action, Crime, Drama","Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon"
tt13131232,Mission Majnu,"Action, Drama, History","Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi, Zakir Hussain"
tt1787988,Talaash,"Crime, Drama, Mystery","Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui"
tt4559006,Ae Dil Hai Mushkil,"Drama, Music, Musical","Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan"
tt1280558,A Wednesday,"Action, Crime, Drama","Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual"
tt5638474,Wajah Tum Ho,"Drama, Mystery, Romance","Sharman Joshi, Sana Khan, Gurmeet Choudhary, Rajneesh Duggal"
tt7098658,Raazi,"Action, Drama, Thriller","Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma"
tt0292490,Dil Chahta Hai,"Comedy, Drama, Romance","Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta"
tt13781794,Bye2,"Drama, Romance","Bhushan, Karan, Vipin Singh, Shreya Tyagi"
tt14152140,Darlings,"Comedy, Drama, Thriller","Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew"
tt11460992,Runway 34,"Drama, Thriller","Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh, CarryMinati"
tt4635372,Masaan,Drama,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi"
tt6452574,Sanju,"Biography, Comedy, Drama","Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal"
tt16077702,Govinda Naam Mera,"Comedy, Crime, Drama","Vicky Kaushal, Kiara Advani, Bhumi Pednekar, Renuka Shahane"
tt1839596,Rockstar,"Drama, Music, Romance","Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra"
tt5690142,Mom,"Crime, Drama, Thriller","Sridevi, Sajal Ali, Akshaye Khanna, Adnan Siddiqui"
tt6988116,Kalank,"Drama, Romance","Alia Bhatt, Kiara Advani, Sanjay Dutt, Kriti Sanon"
tt10324144,Article 15,"Crime, Drama, Mystery","Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra"
tt8439854,Lust Stories,"Drama, Romance","Kiara Advani, Vicky Kaushal, Bhumi Pednekar, Neil Bhoopalam"
tt13130948,Shehzada,"Action, Comedy, Drama","Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala"
tt6527426,Zero,"Comedy, Drama, Romance","Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub"
tt13028258,A Thursday,"Drama, Thriller","Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia"
tt0405508,Rang De Basanti,"Comedy, Crime, Drama","Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
tt9263550,Rocketry: The Nambi Effect,"Biography, Drama","Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra"
tt4535650,Dilwale,"Action, Comedy, Drama","Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon"
tt13449624,Jug Jugg Jeeyo,"Comedy, Drama, Family","Varun Dhawan, Anil Kapoor, Kiara Advani, Neetu Singh"
tt2395469,Gully Boy,"Drama, Music, Romance","Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz"
tt2112124,Chennai Express,"Action, Comedy, Drama","Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer"
tt7430722,War,"Action, Adventure, Thriller","Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana"
tt10295212,Shershaah,"Action, Biography, Drama","Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
tt7255568,Student of the Year 2,"Action, Comedy, Drama","Tiger Shroff, Ananya Panday, Tara Sutaria, Aditya Seal"
tt14428598,Qala,"Drama, Music","Triptii Dimri, Babil Khan, Swastika Mukherjee, Amit Sial"
tt4934950,Talvar,"Crime, Drama, Mystery","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
tt15281704,Kuttey,"Action, Comedy, Crime","Tabu, Arjun Kapoor, Naseeruddin Shah, Konkona Sen Sharma"
tt26445483,Fukrey 3,"Comedy, Crime, Drama","Pankaj Tripathi, Farhan Akhtar, Richa Chadha, Pulkit Samrat"
tt12856788,Dangerous,"Action, Crime, Drama","Naina Ganguly, Rajpal Naurang Yadav, Mithun Purandare, Apsara Rani"
